region,area,population,coordinates,distance_from_center
Novi Isk_r / Kremikovzi,Sofijska planina (zapadna Stara planina) 1,20.0,"[42.896171, 23.281678]",22.30935460399081
Vitosa / Ovca Kupel,Lulin planina - iztok,1.0,"[42.67761, 23.176485]",12.081319649461424
Kremikovzi,Hvostohranilise Bogrov - L_kata,0.0,"[42.701164, 23.515396]",15.829657572925022
Isk_r,"s. Kazicene, m. Cagovo raske",0.0,"[42.659064, 23.440463]",10.613356865229267
Lulin,"Filipovzi, m. Gladno pole",0.0,"[42.738191, 23.217514]",9.632081151608611
Nadejda,"kv. Trebic, m. Cuculiza - sever",0.0,"[42.777169, 23.312217]",8.870309360550944
Nadejda,kv. Trebic,1318.0,"[42.783373, 23.323058]",9.526560718054377
Novi Isk_r,"Hidropark Isk_r - gr. Novi Isk_r, m. Sredoreka",0.0,"[42.829705, 23.361506]",15.03243995570889
Novi Isk_r,"Novi Isk_r, m. Vranaka",0.0,"[42.824563, 23.387745]",15.100079129454926
Novi Isk_r,Novi Isk_r - K_tina poleto,0.0,"[42.844389, 23.301498]",16.394149798223705
Novi Isk_r,"s. K_tina, zona za otdih Izvora",2.0,"[42.843718, 23.340155]",16.30540273931032
Novi Isk_r,m. Padarski kolibi,0.0,"[42.855223, 23.280543]",17.83522764014848
Pancarevo,s. Bistriza - Kokalane - pole,0.0,"[42.585183, 23.387481]",13.618175154575846
Isk_r / Pancarevo,Hidropark Isk_r - ez. Kazicene,0.0,"[42.656197, 23.453617]",11.72677380873845
Banka,kv. Verdikal - zemlise pole,0.0,"[42.739961, 23.117725]",17.316948494591394
Kremikovzi,"zem. zemi - s. Bogrov, Ana i Jelava",0.0,"[42.727111, 23.608669]",23.669255031419485
Serdika,Kubratovsko pole,0.0,"[42.781132, 23.337021]",9.360268545780276
Novi Isk_r,"Novi Isk_r, m. v.z. Laska",109.0,"[42.841271, 23.34635]",16.089757533185423
Kremikovzi,s. G. i D. Bogrov pole ug,0.0,"[42.707081, 23.497149]",14.371038219978642
Novi Isk_r,m. v.z. Radevi krusi,24.0,"[42.831876, 23.385242]",15.794032351592831
Pancarevo,"s. Bistriza, m. Lagatar",0.0,"[42.572169, 23.346481]",14.104747498683137
Sredez,Knajeska gradina,,"[42.690539, 23.337447]",1.5104041668410735
Vr_bniza,"s. Voluak, m. Gurmaziza",0.0,"[42.782112, 23.216587]",12.721823125462999
Pancarevo,SOP Lozen Ikonomiceska zona - sever,0.0,"[42.638122, 23.45229]",12.562445820764953
Nadejda,"s. Mramor, kv. Trebic zem. zema",,"[42.769572, 23.284757]",8.543334919573885
Novi Isk_r,s. Mirovane poleto,0.0,"[42.808691, 23.300953]",12.457417864521517
Lulin,"kv. Filipovzi, m. Krusi",0.0,"[42.718215, 23.20728]",9.62688648289555
